subject	block	trial	trigger	word	priming	dur	ia
A0110	2	645	5	0	1	793	prime
A0110	2	646	1	0	0	365	prime
A0110	2	647	1	0	0	370	prime
A0110	2	648	9	1	0	-1	prime
A0110	2	649	5	0	1	387	prime
A0110	2	650	1	0	0	425	prime
A0110	2	651	5	0	1	459	prime
A0110	2	652	9	1	0	-1	prime
A0110	2	653	1	0	0	491	prime
A0110	2	654	1	0	0	483	prime
A0110	2	655	1	0	0	363	prime
A0110	2	656	5	0	1	364	prime
A0110	2	657	1	0	0	343	prime
A0110	2	658	5	0	1	350	prime
A0110	2	659	5	0	1	393	prime
A0110	2	660	9	1	0	-1	prime
A0110	2	661	5	0	1	487	prime
A0110	2	662	9	1	0	-1	prime
A0110	2	663	9	1	0	-1	prime
A0110	2	664	9	1	0	-1	prime
A0110	2	665	1	0	0	445	prime
A0110	2	666	1	0	0	419	prime
A0110	2	667	1	0	0	411	prime
A0110	2	668	1	0	0	416	prime
A0110	2	669	1	0	0	380	prime
A0110	2	670	1	0	0	445	prime
A0110	2	671	9	1	0	-1	prime
A0110	2	672	1	0	0	324	prime
A0110	2	673	9	1	0	-1	prime
A0110	2	674	9	1	0	-1	prime
A0110	2	675	1	0	0	395	prime
A0110	2	676	1	0	0	414	prime
A0110	2	677	1	0	0	428	prime
A0110	2	678	9	1	0	-1	prime
A0110	2	679	1	0	0	394	prime
A0110	2	680	9	1	0	-1	prime
A0110	2	681	9	1	0	-1	prime
A0110	2	682	9	1	0	-1	prime
A0110	2	683	1	0	0	383	prime
A0110	2	684	9	1	0	-1	prime
A0110	2	685	1	0	0	457	prime
A0110	2	686	5	0	1	375	prime
A0110	2	687	1	0	0	663	prime
A0110	2	688	1	0	0	380	prime
A0110	2	689	1	0	0	413	prime
A0110	2	690	5	0	1	436	prime
A0110	2	691	1	0	0	442	prime
A0110	2	692	1	0	0	473	prime
A0110	2	693	1	0	0	362	prime
A0110	2	694	9	1	0	-1	prime
A0110	2	695	1	0	0	400	prime
A0110	2	696	5	0	1	334	prime
A0110	2	697	9	1	0	-1	prime
A0110	2	698	1	0	0	387	prime
A0110	2	699	5	0	1	349	prime
A0110	2	700	1	0	0	402	prime
A0110	2	701	1	0	0	414	prime
A0110	2	702	9	1	0	-1	prime
A0110	2	703	1	0	0	366	prime
A0110	2	704	9	1	0	-1	prime
A0110	2	705	1	0	0	500	prime
A0110	2	706	5	0	1	502	prime
A0110	2	707	1	0	0	483	prime
A0110	2	708	1	0	0	357	prime
A0110	2	709	5	0	1	356	prime
A0110	2	710	1	0	0	-1	prime
A0110	2	711	5	0	1	436	prime
A0110	2	712	1	0	0	335	prime
A0110	2	713	9	1	0	-1	prime
A0110	2	714	1	0	0	363	prime
A0110	2	715	5	0	1	519	prime
A0110	2	716	9	1	0	-1	prime
A0110	2	717	1	0	0	383	prime
A0110	2	718	1	0	0	370	prime
A0110	2	719	5	0	1	539	prime
A0110	2	480	6	0	1	356	target
A0110	2	481	10	1	0	-1	target
A0110	2	482	6	0	1	447	target
A0110	2	483	10	1	0	-1	target
A0110	2	484	2	0	0	338	target
A0110	2	485	2	0	0	-1	target
A0110	2	486	6	0	1	363	target
A0110	2	487	2	0	0	-1	target
A0110	2	488	6	0	1	322	target
A0110	2	489	2	0	0	329	target
A0110	2	490	6	0	1	345	target
A0110	2	491	6	0	1	353	target
A0110	2	492	10	1	0	386	target
A0110	2	493	2	0	0	341	target
A0110	2	494	2	0	0	-1	target
A0110	2	495	10	1	0	-1	target
A0110	2	496	6	0	1	358	target
A0110	2	497	2	0	0	434	target
A0110	2	498	10	1	0	-1	target
A0110	2	499	2	0	0	391	target
A0110	2	500	2	0	0	-1	target
A0110	2	501	2	0	0	344	target
A0110	2	502	2	0	0	71	target
A0110	2	503	6	0	1	335	target
A0110	2	504	2	0	0	313	target
A0110	2	505	2	0	0	299	target
A0110	2	506	6	0	1	318	target
A0110	2	507	10	1	0	-1	target
A0110	2	508	2	0	0	-1	target
A0110	2	509	2	0	0	-1	target
A0110	2	510	6	0	1	357	target
A0110	2	511	6	0	1	410	target
A0110	2	512	6	0	1	396	target
A0110	2	513	10	1	0	-1	target
A0110	2	514	10	1	0	-1	target
A0110	2	515	10	1	0	-1	target
A0110	2	516	2	0	0	416	target
A0110	2	517	2	0	0	-1	target
A0110	2	518	2	0	0	323	target
A0110	2	519	10	1	0	-1	target
A0110	2	520	10	1	0	-1	target
A0110	2	521	6	0	1	293	target
A0110	2	522	2	0	0	306	target
A0110	2	523	6	0	1	612	target
A0110	2	524	10	1	0	-1	target
A0110	2	525	10	1	0	-1	target
A0110	2	526	2	0	0	486	target
A0110	2	527	10	1	0	-1	target
A0110	2	528	2	0	0	-1	target
A0110	2	529	2	0	0	759	target
A0110	2	530	10	1	0	-1	target
A0110	2	531	2	0	0	372	target
A0110	2	532	10	1	0	-1	target
A0110	2	533	6	0	1	444	target
A0110	2	534	10	1	0	-1	target
A0110	2	535	2	0	0	359	target
A0110	2	536	2	0	0	437	target
A0110	2	537	10	1	0	-1	target
A0110	2	538	2	0	0	350	target
A0110	2	539	2	0	0	-1	target
A0110	2	540	10	1	0	-1	target
A0110	2	541	10	1	0	-1	target
A0110	2	542	10	1	0	436	target
A0110	2	543	10	1	0	-1	target
A0110	2	544	2	0	0	351	target
A0110	2	545	2	0	0	-1	target
A0110	2	546	2	0	0	-1	target
A0110	2	547	2	0	0	493	target
A0110	2	548	10	1	0	-1	target
A0110	2	549	10	1	0	-1	target
A0110	2	550	6	0	1	366	target
A0110	2	551	10	1	0	-1	target
A0110	2	552	10	1	0	-1	target
A0110	2	553	10	1	0	-1	target
A0110	2	554	2	0	0	474	target
A0110	2	555	10	1	0	-1	target
A0110	2	556	2	0	0	-1	target
A0110	2	557	6	0	1	328	target
A0110	2	558	2	0	0	354	target
A0110	2	559	10	1	0	-1	target
A0110	2	560	10	1	0	-1	target
A0110	2	561	10	1	0	-1	target
A0110	2	562	10	1	0	-1	target
A0110	2	563	6	0	1	333	target
A0110	2	564	10	1	0	-1	target
A0110	2	565	10	1	0	-1	target
A0110	2	566	10	1	0	-1	target
A0110	2	567	2	0	0	-1	target
A0110	2	568	10	1	0	-1	target
A0110	2	569	10	1	0	-1	target
A0110	2	570	10	1	0	349	target
A0110	2	571	2	0	0	-1	target
A0110	2	572	10	1	0	-1	target
A0110	2	573	2	0	0	-1	target
A0110	2	574	2	0	0	608	target
A0110	2	575	10	1	0	-1	target
A0110	2	576	6	0	1	405	target
A0110	2	577	2	0	0	-1	target
A0110	2	578	6	0	1	558	target
A0110	2	579	6	0	1	429	target
A0110	2	580	10	1	0	-1	target
A0110	2	581	2	0	0	-1	target
A0110	2	582	2	0	0	-1	target
A0110	2	583	10	1	0	-1	target
A0110	2	584	10	1	0	-1	target
A0110	2	585	10	1	0	420	target
A0110	2	586	10	1	0	-1	target
A0110	2	587	2	0	0	-1	target
A0110	2	588	2	0	0	358	target
A0110	2	589	2	0	0	-1	target
A0110	2	590	2	0	0	344	target
A0110	2	591	6	0	1	420	target
A0110	2	592	10	1	0	-1	target
A0110	2	593	10	1	0	-1	target
A0110	2	594	10	1	0	-1	target
A0110	2	595	2	0	0	334	target
A0110	2	596	10	1	0	-1	target
A0110	2	597	6	0	1	370	target
A0110	2	598	10	1	0	-1	target
A0110	2	599	10	1	0	-1	target
A0110	2	600	2	0	0	317	target
A0110	2	601	6	0	1	437	target
